Key,english
ttCombineLimitExceededWorkbench,The workbench only allows you to improve items to 40.
ttCombineLimitExceededScifi,The laser workbench only allows you to improve items to 80.
buffIllFoodPoisoning01Desc,You feel sick to your stomach.
buffIllFoodPoisoning01Name,Food Poisoning
statFoodPoisoningRisk,Food Poisoning
statRottenFoodChance,Rotten Food Chance
statQuestRewardOptionCount,Extra Quest Reward Options
statQuestBonusItemReward,Bonus Quest Rewards
reqASAuto15,Automatic Weapons Level 15
reqASAuto30,Automatic Weapons Level 30
reqASAuto45,Automatic Weapons Level 45
reqASAuto60,Automatic Weapons Level 60
reqASAuto75,Automatic Weapons Level 75
reqASBlunt15,Blunt Weapons Level 15
reqASBlunt30,Blunt Weapons Level 30
reqASBlunt45,Blunt Weapons Level 45
reqASBlunt60,Blunt Weapons Level 60
reqASBlunt75,Blunt Weapons Level 75
reqHunterLevelNot01,Already Available To The Hunter Class
reqLaborerLevelNot01,Already Available To The Laborer Class
reqMechanicLevelNot01,Already Available To The Mechanic Class
reqSurvivalistLevelNot01,Already Available To The Survivalist Class
reqASArchery30,Archery Level 30
reqASBlades15,Bladed Weapons Level 15
reqASBlades30,Bladed Weapons Level 30
reqCSTools15,Construction Tools Level 15
reqCSTools30,Construction Tools Level 30
reqCSTools45,Construction Tools Level 45
reqASPistols15,Pistols Level 15
reqASPistols30,Pistols Level 30
reqASPistols45,Pistols Level 45
reqASPistols60,Pistols Level 60
reqASPistols75,Pistols Level 75
reqASRifles15,Rifles Level 15
reqASRifles30,Rifles Level 30
reqASRifles45,Rifles Level 45
reqASRifles60,Rifles Level 60
reqASRifles75,Rifles Level 75
reqASShotguns15,Shotguns Level 15
reqASShotguns30,Shotguns Level 30
reqASShotguns45,Shotguns Level 45
reqASShotguns60,Shotguns Level 60
reqASShotguns75,Shotguns Level 75
reqPlayerLevel1,No Requirements
reqPlayerLevel5,Player Level 5
reqPlayerLevel10,Player Level 10
reqPlayerLevel15,Player Level 15
reqPlayerLevel20,Player Level 20
reqPlayerLevel25,Player Level 25
reqPlayerLevel30,Player Level 30
reqPlayerLevel35,Player Level 35
reqPlayerLevel40,Player Level 40
reqPlayerLevel45,Player Level 45
reqPlayerLevel50,Player Level 50
reqPlayerLevel55,Player Level 55
reqPlayerLevel60,Player Level 60
reqPlayerLevel65,Player Level 65
reqPlayerLevel70,Player Level 70
reqPlayerLevel75,Player Level 75
reqPlayerLevel80,Player Level 80
reqPlayerLevel85,Player Level 85
reqPlayerLevel90,Player Level 90
reqPlayerLevel95,Player Level 95
reqPlayerLevel100,Player Level 100
reqPlayerLevel110,Player Level 110
reqPlayerLevel120,Player Level 120
reqPlayerLevel125,Player Level 125
reqPlayerLevel130,Player Level 130
reqPlayerLevel140,Player Level 140
reqPlayerLevel150,Player Level 150
reqPlayerLevel160,Player Level 160
reqPlayerLevel170,Player Level 170
reqPlayerLevel175,Player Level 175
reqPlayerLevel180,Player Level 180
reqPlayerLevel190,Player Level 190
reqPlayerLevel200,Player Level 200
reqPlayerLevel1Perk,No Requirements
reqPlayerLevel5Perk,Player Level 5
reqPlayerLevel15Perk,Player Level 15
reqPlayerLevel25Perk,Player Level 25
reqPlayerLevel30Perk,Player Level 30
reqPlayerLevel45Perk,Player Level 45
reqPlayerLevel50Perk,Player Level 50
reqPlayerLevel60Perk,Player Level 60
reqPlayerLevel90Perk,Player Level 90
reqPlayerLevel100Perk,Player Level 100
reqPlayerLevel120Perk,Player Level 120
reqPlayerLevel150Perk,Player Level 150
reqPlayerLevel180Perk,Player Level 180
regCivilianQuest,Complete the scavenger class quest chain
reqClassQuest1,Complete the first class quest
reqClassQuest2,Complete the class quest chain. Player Level 15
reqClassQuest3,Complete the class quest chain. Player Level 30
reqClassQuest4,Complete the class quest chain. Player Level 45
reqClassQuestComplete,Complete the class quest chain.
attskillsandatt,Attributes and Skills
attSkillsandAttName,Attributes and Skills
attSkillsandAttDesc,Category for Attributes and their Skills
attactionskills,Action Skills
attActionSkillsName,Action Skills
attActionSkillsDesc,Learn by doing!
skillAttributesName,Character Attributes
skillAttributesDesc,"This is where you find strength, intellect, etc."
skillCivilianBasicName,Scavenger Class
skillCivilianDesc,Perks for the Scavenger class.
skillCivilianMasterName,Scavenger Mastery
skillCivilianMasterDesc,Perks for Scavenger mastery
skillFarmerBasicName,Farmer Class
skillFarmerBasicDesc,Perks for the farmer class.
skillFarmerMasterName,Farmer Mastery
skillFarmerMasterDesc,Perks for the farmer mastery.
skillHunterBasicName,Hunter Class
skillHunterBasicDesc,Perks for the hunter class.
skillHunterMasterName,Hunter Mastery
skillHunterMasterDesc,Perks for the hunter mastery.
skillLaborerBasicName,Laborer Class
skillLaborerBasicDesc,Perks for the laborer class.
skillLaborerMasterName,Laborer Mastery
skillLaborerMasterDesc,Perks for the laborer mastery.
skillMechanicBasicName,Mechanic Class
skillMechanicBasicDesc,Perks for the mechanic class.
skillMechanicMasterName,Mechanic Mastery
skillMechanicMasterDesc,Perks for the mechanic mastery.
skillScientistBasicName,Scientist Class
skillScientistBasicDesc,Perks for the scientist class.
skillScientistMasterName,Scientist Mastery
skillScientistMasterDesc,Perks for the scientist mastery.
skillSecurityBasicName,Security Class
skillSecurityBasicDesc,Perks for the security class.
skillSecurityMasterName,Security Mastery
skillSecurityMasterDesc,Perks for the security mastery.
skillSurvivalistBasicName,Survivalist Class
skillSurvivalistBasicDesc,Perks for the survivalist class.
skillSurvivalistMasterName,Survivalist Mastery
skillSurvivalistMasterDesc,Perks for the survivalist mastery.
skillASToolsName,Tools.
skillASToolsDesc,Action Skills for Tools.
skillASWeaponsName,Weapons.
skillASWeaponsDesc,Action Skills for Weapons.
skillsCraftingToolsName,Crafting Tool Recipes.
skillsCraftingToolsDesc,Perks to learn new Tool and Workstation recipes.
skillsItemRecipesName,Item Recipes.
skillsItemRecipesDesc,Perks to learn new Item recipes.
skillFutureTechName,Future Technology.
skillFutureTechDesc,Gain access to technological advancements most people can only dream of.
skillBioBoostsName,Biological Boosts.
skillBioBoostsDesc,Infuse yourself with demonic essence to gain extra benefits. Probably not a wise idea...
skillTechBoostsName,Technological Boosts.
skillTechBoostsDesc,"Use the power of tiny machines, called nanites, to grant yourself extra benefits."
attperks,Perks
attPerksName,Perks
attPerksDesc,Perks Category
atttechnology,Technology
attTechnologyName,Technological Improvements
attTechnologyDesc,High end technology for the masses.
skillArchery,Archery Action Skill
skillArcheryName,Archery Action Skill
skillArcheryDesc,Increase your archery skill for bonuses with bow weapons.
skillAthletics,Athletics Action Skill
skillAthleticsName,Athletics Action Skill
skillAthleticsDesc,Increase your Athletics skill for better stamina usage.
skillAutomatics,Automatics Action Skill
skillAutomaticsName,Automatics Action Skill
skillAutomaticsDesc,Increase your automatics skill for bonuses with automatic weapons.
skillBlunt,Blunt Weapons Action Skill
skillBluntName,Blunt Weapons Action Skill
skillBluntDesc,Increase your blunt weapons skill for bonuses with blunt weapons.
skillBlades,Blades Action Skill
skillBladesName,Blades Action Skill
skillBladesDesc,Increase your blades skill for bonuses with bladed weapons.
skillConstruction,Construction Tools Action Skill
skillConstructionName,Construction Tools Action Skill
skillConstructionDesc,Increase your Construction skill for bonuses with construction tools.
skillMiningTools,Mining Tools Action Skill
skillMiningToolsName,Mining Tools Action Skill
skillMiningToolsDesc,Increase your mining skill for bonuses with mining tools.
skillPistols,Pistols Action Skill
skillPistolsName,Pistols Action Skill
skillPistolsDesc,Increase your pistols skill for bonuses with pistol weapons.
skillRifles,Rifles Action Skill
skillRiflesName,Rifles Action Skill
skillRiflesDesc,Increase your rifles skill for bonuses with rifle weapons.
skillScavenging,Scavenging Action Skill
skillScavengingName,Scavenging Action Skill
skillScavengingDesc,Increase your Scavenging skill for bonuses while scavenging.
skillShotguns,Shotguns Action Skill
skillShotgunsName,Shotguns Action Skill
skillShotgunsDesc,Increase your shotguns skill for bonuses with shotgun weapons.
skillCrafting,Перки крафта
skillCraftingName,Crafting Perks
skillCraftingDesc,Perks to increase crafting quality can be found here.
skillPerks,Skill-Related Perks
skillPerksName,Skill-Related Perks
skillPerksDesc,Perks to unlock recipes related to skills can be found here.
skillBooks,Perks Unlocked Via Books
skillBooksName,Perks Unlocked Via Books
skillBooksDesc,Perks unlocked from books found in the world are located here.
perkASConstructionDesc,+1% block damage with construction tools. Caps at +100% at level 100.
perkASMiningDesc,+1% block damage with mining tools. +1% harvest count with mining tools. Caps at +100% at level 100.
perkASMiningDesc2,+1% block damage with mining tools. +1% harvest count with mining tools. Caps at +100% at level 100. Take 50% less damage from falling blocks.
perkASMiningDesc3,+1% block damage with mining tools. +1% harvest count with mining tools. Caps at +100% at level 100. Take 50% less damage from falling blocks. Small chance to find rare ores while mining. 20% chance to mine an ore block in 1 hit.
perkASArchery1Desc,+0.75% fire speed to bow weapons. Caps at +75% at level 100. +5% damage to this weapon class. Increases at skill level 21. Arrows ignore 10% of targets armor.
perkASArchery2Desc,+0.75% fire speed to bow weapons. Caps at +75% at level 100. +10% damage to this weapon class. Increases at skill level 41. Arrows ignore 20% of targets armor. Leg shots slow down opponents.
perkASArchery3Desc,+0.75% fire speed to bow weapons. Caps at +75% at level 100. +15% damage to this weapon class. Increases at skill level 61. Arrows ignore 30% of targets armor. Leg shots slow down opponents. Sneak attack shots have a 20% chance of causing knockdown.
perkASArchery4Desc,+0.75% fire speed to bow weapons. Caps at +75% at level 100. +20% damage to this weapon class. Increases at skill level 81. Arrows ignore 40% of targets armor. Leg shots slow down opponents. Sneak attack shots have a 20% chance of causing knockdown.
perkASArchery5Desc,+0.75% fire speed to bow weapons. Caps at +75% at level 100. +25% damage to this weapon class. Arrows ignore 40% of targets armor. Leg shots slow down opponents. Sneak attack shots have a 20% chance of causing knockdown.
perkASWeapons1Desc,Increase damage by 5% for this weapon class. Increase reload speed by 5%. Increases at skill level 21.
perkASWeapons2Desc,Increase damage by 10% for this weapon class. Increase reload speed by 10%. Increases at skill level 41. Increases run speed by 20% while holding an automatic weapon.
perkASWeapons3Desc,Increase damage by 15% for this weapon class. Increase reload speed by 15%. Increases at skill level 61. Increases run speed by 20% while holding an automatic weapon.
perkASWeapons4Desc,Increase damage by 20% for this weapon class. Increase reload speed by 20%. Increases at skill level 81. Increases run speed by 20% while holding an automatic weapon. 4% chance per shot to make an enemy ragdoll. +1% damage per successful hit until you miss.
perkASWeapons5Desc,Increase damage by 25% for this weapon class. Increase reload speed by 25%. Increases run speed by 20% while holding an automatic weapon. 4% chance per shot to make an enemy ragdoll. +1% damage per successful hit until you miss.
perkASAthletics1Desc,+5% stamina recovery while running. Increases at skill level 21. Caps at +25% at level 100. Decrease stamina use from jumping by 4% Increases at skill level 21.
perkASAthletics2Desc,+10% stamina recovery while running. Increases at skill level 41. Caps at +25% at level 100. Decrease stamina use from jumping by 8% Increases at skill level 41.
perkASAthletics3Desc,+15% stamina recovery while running. Increases at skill level 61. Caps at +25% at level 100. Decrease stamina use from jumping by 12% Increases at skill level 61.
perkASAthletics4Desc,+20% stamina recovery while running. Increases at skill level 81. Caps at +25% at level 100. Decrease stamina use from jumping by 16% Increases at skill level 81.
perkASAthletics5Desc,+25% stamina recovery while running. Decrease stamina use from jumping by 20%
perkASAthleticsName,Athletics
perkASAthleticsDesc,Better stamina usage for jumping and better stamina regen while running.\n\nCurrent XP/XP to Next Level: {cvar($AS_Athletics_XP:0)}/{cvar($AS_Athletics_LvlNextTotal:0)}
perkASConstructionToolsName,Construction Tools
perkASConstructionToolsDesc,Increased by using construction tools to repair and upgrade blocks. Increases block damage when using construction tools.
perkASMiningToolsName,Mining Tools
