Key,koreana
ttCombineLimitExceededWorkbench,작업대는 아이템 등급을 40까지 합성할 수 있습니다
ttCombineLimitExceededScifi,레이저 작업대는 아이템을 80등급까지 합성할 수 있습니다
buffIllFoodPoisoning01Desc,배탈이 났습니다
buffIllFoodPoisoning01Name,식중독
statFoodPoisoningRisk,식중독 걸릴 확률
statRottenFoodChance,썩은 음식일 확률
statQuestRewardOptionCount,추가 퀘스트 보상 개수
statQuestBonusItemReward,추가 퀘스트 보상
reqASAuto15,자동화기 레벨 15
reqASAuto30,자동화기 레벨 30
reqASAuto45,자동화기 레벨 45
reqASAuto60,자동화기 레벨 60
reqASAuto75,자동화기 레벨 75
reqASBlunt15,타격무기 레벨 15
reqASBlunt30,타격무기 레벨 30
reqASBlunt45,타격무기 레벨 45
reqASBlunt60,타격무기 레벨 60
reqASBlunt75,타격무기 레벨 75
reqHunterLevelNot01,사냥꾼 직업 특성에서 습득가능
reqLaborerLevelNot01,노동자 직업 특성에서 습득가능
reqMechanicLevelNot01,기계공 직업 특성에서 습득가능
reqSurvivalistLevelNot01,생존주의자 직업 특성에서 습득가능
reqASArchery30,궁술 레벨 30
reqASBlades15,날붙이 무기 레벨 15
reqASBlades30,날붙이 무기 레벨 30
reqCSTools15,건축도구 레벨 15
reqCSTools30,건축도구 레벨 30
reqCSTools45,건축도구 레벨 45
reqASPistols15,권총 레벨 15
reqASPistols30,권총 레벨 30
reqASPistols45,권총 레벨 45
reqASPistols60,권총 레벨 60
reqASPistols75,권총 레벨 75
reqASRifles15,소총 레벨 15
reqASRifles30,소총 레벨 30
reqASRifles45,소총 레벨 45
reqASRifles60,소총 레벨 60
reqASRifles75,소총 레벨 75
reqASShotguns15,샷건 레벨 15
reqASShotguns30,샷건 레벨 30
reqASShotguns45,샷건 레벨 45
reqASShotguns60,샷건 레벨 60
reqASShotguns75,샷건 레벨 75
reqPlayerLevel1,요구사항 없음
reqPlayerLevel5,플레이어 레벨 5
reqPlayerLevel10,플레이어 레벨 10
reqPlayerLevel15,플레이어 레벨 15
reqPlayerLevel20,플레이어 레벨 20
reqPlayerLevel25,플레이어 레벨 25
reqPlayerLevel30,플레이어 레벨 30
