Key,Source,Context,Changes,English,Koreana
TraderMechanic_b,blocks,Entity,New,The Mechanic,그 기계공

vehicleBoxTruckbody,items,Part,EnChanged,Box Truck Body,박스 트럭 몸체
vehicleBoxTruckbodyDesc,items,Part,EnChanged,Parts needed to craft the Box Truck.,박스 트럭 제작에 필요한 부품.
vehicleBoxTruckchassis,items,Part,EnChanged,Box Truck Chassis,박스 트럭 섀시
vehicleBoxTruckchassisDesc,items,Part,EnChanged,Parts needed to craft the Box Truck.,박스 트럭 제작에 필요한 부품.
vehicleBoxTruckPlain,vehicles,vehicle,new,Box Truck,박스 트럭
vehicleBoxTruckPlainplaceable,vehicles,item,EnChanged,Box Truck,박스 트럭
vehicleBoxTruckPlainplaceableDesc,vehicles,item,EnChanged,An old Box Truck.,낡은 박스 트럭.
vehicleBoxTruckHostess,vehicles,vehicle,new,Hostess Box Truck,호스티스 박스 트럭
vehicleBoxTruckHostessplaceable,vehicles,item,EnChanged,Hostess Box Truck,호스티스 박스 트럭
vehicleBoxTruckHostessplaceableDesc,vehicles,item,EnChanged,Tallahassee's favorite!,탤러해시의 명물!

vehicleGNXchassis,items,Part,EnChanged,GNX Chassis,GNX 섀시
vehicleGNXchassisDesc,items,Part,EnChanged,Parts needed to craft the GNX. Grease Monkey level 4 required.,GNX 제작에 필요한 부품. 기계공 4레벨 필요.
vehicleGNXaccessories,items,Part,EnChanged,GNX Accessories,GNX 부속품
vehicleGNXaccessoriesDesc,items,Part,EnChanged,Parts needed to craft the GNX.,GNX 제작에 필요한 부품.
vehicleGNXBlack,vehicles,vehicle,new,GNX,GNX
vehicleGNXBlackplaceable,vehicles,item,EnChanged,GNX Black,검은 GNX
vehicleGNXBlackplaceableDesc,vehicles,item,EnChanged,Cruise the wasteland in style!,황무지를 멋지게 유람하세요!
vehicleGNXRed,vehicles,vehicle,new,GNX,GNX
vehicleGNXRedplaceable,vehicles,item,EnChanged,GNX Red,빨간 GNX
vehicleGNXRedplaceableDesc,vehicles,item,EnChanged,Cruise the wasteland in style!,황무지를 멋지게 유람하세요!

vehicleGolfCart,vehicles,vehicle,new,Golf Cart,골프 카트
vehicleGolfCartchassis,items,Part,EnChanged,Golf Cart Chassis,골프 카트 섀시
vehicleGolfCartchassisDesc,items,Part,EnChanged,Parts needed to craft the Golf Cart. Grease Monkey level 2 required.,골프 카트 제작에 필요한 부품. 기계공 2레벨 필요.
vehicleGolfCartaccessories,items,Part,EnChanged,Golf Cart Accessories,골프 카트 부속품
vehicleGolfCartaccessoriesDesc,items,Part,EnChanged,Parts needed to craft the Golf Cart. Grease Monkey level 2 required.,골프 카트 제작에 필요한 부품. 기계공 2레벨 필요.
vehicleGolfCartplaceable,vehicles,item,EnChanged,Golf Cart,골프 카트
vehicleGolfCartplaceableDesc,vehicles,item,EnChanged,It might not be much but it's better than walking!,충분하진 않을 수 있지만 걷는거보단 나을거에요!
meleeGolfClub,items,Melee,KgNone,Golf Club,골프 클럽
meleeGolfClubDesc,items,Melee,KgNone,No golf balls? There's always plenty of zombies to practice that swing on!,골프공이 없습니까? 사방에 널린 좀비로 스윙을 연습하세요!

vehicleWillyJeep,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
vehicleWillyJeepplaceableDesc,vehicles,item,EnChanged,If it survived WW2 surely it can handle this!,2차 세계대전에서 살아남았으면 이 세상에서도 가능할겁니다!
vehicleWillyJeepTopless,vehicles,vehicle,new,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessplaceable,vehicles,item,EnChanged,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessplaceableDesc,vehicles,item,EnChanged,Now with even more wind-in-hair action!,이제 조금 더 머리칼 휘날릴 수 있습니다!

vehicleWillyJeepBlack,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepBlackplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
vehicleWillyJeepBlackplaceableDesc,vehicles,item,EnChanged,If it survived WW2 surely it can handle this!,2차 세계대전에서 살아남았으면 이 세상에서도 가능할겁니다!
vehicleWillyJeepToplessBlack,vehicles,vehicle,new,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessBlackplaceable,vehicles,item,EnChanged,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessBlackplaceableDesc,vehicles,item,EnChanged,Now with even more wind-in-hair action!,이제 조금 더 머리칼 휘날릴 수 있습니다!

vehicleWillyJeepBlue,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepBlueplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
vehicleWillyJeepBlueplaceableDesc,vehicles,item,EnChanged,If it survived WW2 surely it can handle this!,2차 세계대전에서 살아남았으면 이 세상에서도 가능할겁니다!
vehicleWillyJeepToplessBlue,vehicles,vehicle,new,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessBlueplaceable,vehicles,item,EnChanged,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessBlueplaceableDesc,vehicles,item,EnChanged,Now with even more wind-in-hair action!,이제 조금 더 머리칼 휘날릴 수 있습니다!

vehicleWillyJeepGreen,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepGreenplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
vehicleWillyJeepGreenplaceableDesc,vehicles,item,EnChanged,If it survived WW2 surely it can handle this!,2차 세계대전에서 살아남았으면 이 세상에서도 가능할겁니다!
vehicleWillyJeepToplessGreen,vehicles,vehicle,new,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessGreenplaceable,vehicles,item,EnChanged,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessGreenplaceableDesc,vehicles,item,EnChanged,Now with even more wind-in-hair action!,이제 조금 더 머리칼 휘날릴 수 있습니다!

vehicleWillyJeepOrange,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepOrangeplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
vehicleWillyJeepOrangeplaceableDesc,vehicles,item,EnChanged,If it survived WW2 surely it can handle this!,2차 세계대전에서 살아남았으면 이 세상에서도 가능할겁니다!
vehicleWillyJeepToplessOrange,vehicles,vehicle,new,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessOrangeplaceable,vehicles,item,EnChanged,Willy Jeep (Topless),윌리 지프 (오픈형)
vehicleWillyJeepToplessOrangeplaceableDesc,vehicles,item,EnChanged,Now with even more wind-in-hair action!,이제 조금 더 머리칼 휘날릴 수 있습니다!

vehicleWillyJeepPurple,vehicles,vehicle,new,Willy Jeep,윌리 지프
vehicleWillyJeepPurpleplaceable,vehicles,item,EnChanged,Willy Jeep,윌리 지프
